Date,Animal
2020-09-11,Turkeys
2020-09-13,Turkeys
2020-09-26,Turkeys
2020-10-17,Turkeys
2020-05-23,Ospreys
2020-06-28,Ospreys
2020-08-02,Ospreys
2020-05-23,Turtles
2020-05-24,Turtles
2020-06-19,Turtles
2020-07-26,Turtles
2020-07-31,Turtles
2020-05-23,House wren
2020-05-27,Moles
2020-07-01,Moles
2020-05-27,Rabbits
2020-05-28,Rabbits
2020-05-29,Rabbits
2020-05-31,Rabbits
2020-06-01,Rabbits
2020-06-03,Rabbits
2020-06-05,Rabbits
2020-06-07,Rabbits
2020-06-08,Rabbits
2020-06-07,Rabbits
2020-06-09,Rabbits
2020-06-12,Rabbits
2020-06-15,Rabbits
2020-06-17,Rabbits
2020-06-18,Rabbits
2020-06-19,Rabbits
2020-06-20,Rabbits
2020-06-22,Rabbits
2020-06-04,Baby swimmng rodent
2020-06-08,Woodchuck
2020-06-21,Turkey vultures
2020-07-08,Turkey vultures
2020-08-01,Turkey vultures
2020-09-05,Turkey vultures
2020-09-26,Turkey vultures
2020-09-29,Turkey vultures
2020-10-01,Turkey vultures
2020-10-03,Turkey vultures
2020-10-10,Turkey vultures
2020-10-11,Turkey vultures
2020-10-17,Turkey vultures
2020-07-16,Foxes
2020-07-18,Foxes
2020-06-23,Rabbits
2020-06-24,Rabbits
2020-06-25,Rabbits
2020-06-26,Rabbits
2020-09-27,Rabbits
2020-06-28,Rabbits
2020-06-29,Rabbits
2020-06-30,Rabbits
2020-07-01,Rabbits
2020-07-02,Rabbits
2020-07-03,Rabbits
2020-07-04,Rabbits
2020-07-05,Rabbits
2020-07-06,Rabbits
2020-06-25,Baby rabbits
2020-07-15,Baby rabbits
2020-07-01,Herons
2020-07-03,Herons
2020-07-04,Herons
2020-07-09,Herons
2020-07-11,Herons
2020-07-12,Herons
2020-07-14,Herons
2020-07-16,Herons
2020-07-17,Herons
2020-07-23,Herons
2020-07-25,Herons
2020-07-30,Herons
2020-08-06,Herons
2020-08-07,Herons
2020-08-09,Herons
2020-08-15,Herons
2020-08-16,Herons
2020-08-21,Herons
2020-07-03,Toad
2020-07-07,Rabbits
2020-07-08,Rabbits
2020-07-09,Rabbits
2020-07-10,Rabbits
2020-07-11,Rabbits
2020-07-12,Rabbits
2020-07-13,Rabbits
2020-07-14,Rabbits
2020-07-15,Rabbits
2020-07-16,Rabbits
2020-07-17,Rabbits
2020-07-19,Rabbits
2020-07-20,Rabbits
2020-07-21,Rabbits
2020-07-22,Rabbits
2020-07-23,Rabbits
2020-07-24,Rabbits
2020-07-25,Rabbits
2020-07-19,Hairy woodpeckers
2020-08-31,Hairy woodpeckers
2020-09-26,Hairy woodpeckers
2020-10-03,Hairy woodpeckers
2020-07-27,Rabbits
2020-07-28,Rabbits
2020-07-29,Rabbits
2020-07-30,Rabbits
2020-07-31,Rabbits
2020-08-01,Rabbits
2020-08-02,Rabbits
2020-08-03,Rabbits
2020-08-04,Rabbits
2020-08-05,Rabbits
2020-08-06,Rabbits
2020-08-07,Rabbits
2020-08-09,Rabbits
2020-08-10,Rabbits
2020-08-11,Rabbits
2020-08-12,Rabbits
2020-08-13,Rabbits
2020-08-14,Rabbits
2020-07-27,Vole
2020-10-22,Bats
2020-10-24,Bats
2020-08-15,Rabbits
2020-08-17,Rabbits
2020-08-18,Rabbits
2020-08-19,Rabbits
2020-08-20,Rabbits
2020-08-21,Rabbits
2020-08-22,Rabbits
2020-08-23,Rabbits
2020-08-24,Rabbits
2020-08-25,Rabbits
2020-08-26,Rabbits
2020-08-27,Rabbits
2020-08-28,Rabbits
2020-08-30,Rabbits
2020-08-31,Rabbits
2020-09-01,Rabbits
2020-08-15,Swans
2020-08-16,Swans
2020-08-17,Swans
2020-08-28,Swans
2020-08-30,Swans
2020-09-01,Swans
2020-09-07,Swans
2020-09-08,Swans
2020-09-09,Swans
2020-09-10,Swans
2020-09-11,Swans
2020-09-16,Swans
2020-09-19,Swans
2020-09-21,Swans
2020-09-22,Swans
2020-08-17,Frogs
2020-08-19,Frogs
2020-09-12,Frogs
2020-09-26,Frogs
2020-08-23,Herons
2020-08-25,Herons
2020-08-26,Herons
2020-08-28,Herons
2020-09-03,Herons
2020-09-06,Herons
2020-09-07,Herons
2020-09-09,Herons
2020-09-11,Herons
2020-09-13,Herons
2020-09-19,Herons
2020-09-20,Herons
2020-09-23,Herons
2020-09-25,Herons
2020-10-06,Herons
2020-08-25,Green Heron
2020-08-28,Humming birds
2020-09-02,Rabbits
2020-09-03,Rabbits
2020-09-04,Rabbits
2020-09-06,Rabbits
2020-09-08,Rabbits
2020-09-10,Rabbits
2020-09-11,Rabbits
2020-09-14,Rabbits
2020-09-15,Rabbits
2020-09-17,Rabbits
2020-09-18,Rabbits
2020-09-23,Rabbits
2020-09-27,Rabbits
2020-09-28,Rabbits
2020-09-29,Rabbits
2020-09-30,Rabbits
2020-09-12,Crabs
2020-09-26,Crabs
2020-09-13,Hawks
2020-09-19,Hawks
2020-09-20,Hawks
2020-09-24,Hawks
2020-09-25,Hawks
2020-09-26,Hawks
2020-10-04,Hawks
2020-10-17,Hawks
2020-09-23,Swans
2020-09-24,Swans
2020-09-25,Swans
2020-09-27,Swans
2020-10-10,Swans
2020-10-11,Swans
2020-10-16,Swans
2020-09-24,Cygnets
2020-09-25,Cygnets
2020-09-26,Hermit crabs
2020-10-02,Cygnets
2020-10-05,Rabbits
2020-10-08,Rabbits
2020-10-09,Rabbits
2020-10-12,Rabbits
2020-10-13,Rabbits
2020-10-16,Rabbits
2020-10-18,Rabbits
2020-10-19,Rabbits
2020-10-20,Rabbits
2020-10-26,Rabbits
2020-10-27,Rabbits
2020-10-03,Flickers
